title,type,genres,releaseyear,averagerating,votes
Midnight in the Garden of Good and Evil,movie,"{Action, Crime, Drama}",1995,7.1,200721
8MM,movie,"{Crime, Drama, Mystery}",1997,6.6,42063
American Wedding,movie,"{Crime, Drama, Mystery}",1999,6.6,145545
In Bruges,movie,{Comedy},2003,6.3,220313
Robin Hood: Prince of Thieves,movie,"{Comedy, Crime, Drama}",2008,7.9,470519
"Definitely, Maybe",movie,"{Action, Adventure, Drama}",1991,6.9,212257
A Man Apart,movie,"{Comedy, Drama, Romance}",2008,7.1,175211
Carandiru,movie,"{Action, Crime, Drama}",2003,6,49882
Dumb and Dumber,movie,"{Crime, Drama}",2003,7.6,22602
John Q,movie,{Comedy},1994,7.3,420951
Superman II,movie,"{Crime, Drama, Thriller}",2002,7.1,145962
The Exorcism of Emily Rose,movie,"{Action, Adventure, Sci-Fi}",1980,6.8,116597
Fools Gold,movie,"{Drama, Horror, Thriller}",2005,6.7,142712
Taken,movie,"{Action, Adventure, Comedy}",2008,5.7,85921
Christine,movie,"{Action, Crime, Thriller}",2008,7.7,645053
Baby Mama,movie,"{Horror, Thriller}",1983,6.8,95498
Mad Max 2: The Road Warrior,movie,"{Comedy, Romance}",2008,6,47934
